Membership No  Date Joined  Active  
    84841      2018-6-25    no    
    67808      2019-4-17    no    
    55391      2020-5-23    no    
    64162      2017-6-25    no    
    82589      2015-5-25    no    
    26232      2016-6-1     no    
    27118      2017-4-6     no    
    96222      2016-11-20   no    
    85758      2017-8-2     no    
    13198      2019-8-11    no    
    34855      2019-6-4     no    
    87469      2020-4-17    no    
    54569      2017-11-2    no    
    46426      2015-3-5     no    
    71022      2016-10-1    no    
